"placeId","title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categoryName","location/lat","location/lng","address","permanentlyClosed","url"
"ChIJWcOuGOUndTERoNe1lmP7Tig","Hồ Câu Cá Giải Trí Cây Sung","Ao cá","Quán ăn nhỏ",,,,,,,,"Ao cá","10.8628553","106.7328855","128/, 4 Đ. Số 11, Tam Binh, Thành Phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJWcOuGOUndTERoNe1lmP7Tig"
"ChIJI59KrXshdTERseLYPQ7tJDo","Bãi Câu Cá Vân Đài","Sân chơi",,,,,,,,,"Sân chơi","10.8261956","106.834795","RRGM+9J2, Trường Thạnh, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJI59KrXshdTERseLYPQ7tJDo"
"ChIJtShEs5IndTERPsOUCKRXzJs","Nhà thờ Tam Hà","Nhà thờ Công giáo",,,,,,,,,"Nhà thờ Công giáo","10.8619056","106.7471644","66 Đ. Tam Hà, khu phố 4, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJtShEs5IndTERPsOUCKRXzJs"
"ChIJYZjh7-IpdTERLUX-tdZrAMo","Công ty TNHH Giải Pháp SME","Công ty kế toán","Dịch vụ pháp lý","Dịch vụ khai thuế",,,,,,,"Công ty kế toán","10.8238771","106.8334736","230/70/16, Nguyễn Xiển, Trường Thạnh, Quận 9, Thành phố Hồ Chí Minh 71300, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJYZjh7-IpdTERLUX-tdZrAMo"
"ChIJKZURVAAndTERZfc7zhWaybg","Cơm A Tỷ - Hủ tiếu Bến Tre","Quán ăn nhỏ",,,,,,,,,"Quán ăn nhỏ","10.8612495","106.7451651","447 Tô Ngọc Vân, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJKZURVAAndTERZfc7zhWaybg"
"ChIJu0IQRwAndTERImKSD1HclGY","Du học nghề Đức - Mtrip","Văn phòng công ty",,,,,,,,,"Văn phòng công ty","10.8609381","106.738714","Chung cu Sunview 1, Đường Cây Keo, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJu0IQRwAndTERImKSD1HclGY"
"ChIJu92eFPgndTERm2g0c8oWWmY","Trường THCS Bình Chiểu","Trường THCS",,,,,,,,,"Trường THCS","10.8734058","106.7329184","2 Đ. Bình Chiểu, Bình Chiểu, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJu92eFPgndTERm2g0c8oWWmY"
"ChIJhbG8TgAndTERCyeeaAdk3To","DUYÊN BEAUTY","Spa",,,,,,,,,"Spa","10.8726516","106.7299086","H12, Bình Chiểu, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJhbG8TgAndTERCyeeaAdk3To"
"ChIJ__UP-e4ndTERN-UuFk5SnGI","Sân Cầu Lông Cây Keo","Sân cầu lông",,,,,,,,,"Sân cầu lông","10.8605735","106.740075","Đường nội bộ Đường Cây Keo, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ__UP-e4ndTERN-UuFk5SnGI"
"ChIJiSmZhRzYdDER9i8ODtiGFa4","Thế Giới Di Động","Cửa hàng điện thoại di động","Cửa hàng bán đồ điện tử",,,,,,,,"Cửa hàng điện thoại di động","10.8724691","106.7331624","744A Tỉnh Lộ 43, P. Bình Chiểu, Q.Thủ Đức, Hồ Chí Minh, 700000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJiSmZhRzYdDER9i8ODtiGFa4"
"ChIJTSbVMAAndTERhu2eWJYydjQ","Đóng Pin Thủ Đức","Cửa hàng sửa chữa đồ điện tử",,,,,,,,,"Cửa hàng sửa chữa đồ điện tử","10.8600049","106.7484927","12 Số 2, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJTSbVMAAndTERhu2eWJYydjQ"
"ChIJnxoYTQAndTERAnY8YhAT72U","Sân Cầu Lông Quốc Lộ 1","Sân cầu lông",,,,,,,,,"Sân cầu lông","10.8721689","106.7417341","400 QL1A, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJnxoYTQAndTERAnY8YhAT72U"
